epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2795.44,1.1026,0.51947,0.99924,0.91098,0.89177,0.93408,0.59695,1.16154,0.52962,1.08659,0.0083764,0.0083764,0.0083764
43,2859.91,1.09817,0.51808,0.99995,0.91602,0.89521,0.93747,0.59834,1.18499,0.5338,1.09449,0.0083368,0.0083368,0.0083368
44,2924.25,1.08723,0.51425,0.99363,0.90279,0.89443,0.93682,0.60088,1.16415,0.52978,1.08958,0.0082972,0.0082972,0.0082972
45,2988.2,1.08805,0.51157,0.99839,0.89703,0.89635,0.93394,0.59795,1.15831,0.5335,1.08779,0.0082576,0.0082576,0.0082576
46,3052.34,1.07544,0.5059,0.99009,0.90053,0.89919,0.93857,0.59866,1.16016,0.52725,1.08351,0.008218,0.008218,0.008218
47,3116.89,1.07131,0.50083,0.98883,0.90516,0.88539,0.9354,0.6026,1.16563,0.52483,1.09236,0.0081784,0.0081784,0.0081784
48,3181.33,1.0648,0.49707,0.98622,0.9012,0.89516,0.93451,0.59559,1.17166,0.52779,1.09382,0.0081388,0.0081388,0.0081388
49,3245.25,1.06085,0.49216,0.98321,0.90935,0.88551,0.93403,0.60243,1.15875,0.5245,1.08671,0.0080992,0.0080992,0.0080992
50,3309.08,1.05655,0.49222,0.98613,0.90452,0.89517,0.92952,0.59493,1.15947,0.52463,1.08997,0.0080596,0.0080596,0.0080596
51,3373.86,1.05478,0.49019,0.97928,0.90609,0.90577,0.93394,0.59764,1.17074,0.51831,1.09321,0.00802,0.00802,0.00802
52,3437.6,1.04412,0.48633,0.98013,0.90249,0.89379,0.93668,0.59895,1.1719,0.53393,1.09429,0.0079804,0.0079804,0.0079804
53,3501.63,1.03523,0.48368,0.97602,0.91107,0.89804,0.93306,0.59566,1.17404,0.52448,1.09338,0.0079408,0.0079408,0.0079408
54,3565.36,1.03095,0.48002,0.97724,0.90205,0.89291,0.93422,0.60157,1.17754,0.52972,1.09899,0.0079012,0.0079012,0.0079012
55,3628.71,1.0259,0.47847,0.97314,0.9022,0.89786,0.92584,0.5855,1.18439,0.52621,1.10525,0.0078616,0.0078616,0.0078616
56,3692.31,1.02151,0.47323,0.97006,0.9189,0.88893,0.93554,0.60186,1.16653,0.518,1.09906,0.007822,0.007822,0.007822
57,3758.14,1.01783,0.47352,0.97369,0.90988,0.88497,0.93634,0.5952,1.17481,0.52518,1.09903,0.0077824,0.0077824,0.0077824
58,3822.16,1.00888,0.46698,0.96657,0.90868,0.89508,0.93364,0.5984,1.16565,0.51987,1.09587,0.0077428,0.0077428,0.0077428
59,3886.91,1.00996,0.46932,0.96763,0.91735,0.89158,0.93645,0.59793,1.1651,0.51996,1.09679,0.0077032,0.0077032,0.0077032
60,3950.92,1.00428,0.46468,0.96513,0.90975,0.8992,0.93145,0.60018,1.16035,0.51932,1.09455,0.0076636,0.0076636,0.0076636
61,4015.05,0.99323,0.45984,0.96082,0.89925,0.89482,0.92565,0.59621,1.17078,0.52221,1.10266,0.007624,0.007624,0.007624
62,4079.16,0.9926,0.45978,0.96164,0.89867,0.90753,0.9366,0.60408,1.16304,0.51973,1.10142,0.0075844,0.0075844,0.0075844
63,4144.34,0.98462,0.455,0.95702,0.89753,0.90523,0.92725,0.59507,1.16231,0.51495,1.09729,0.0075448,0.0075448,0.0075448
64,4208.68,0.98007,0.45402,0.95483,0.90692,0.89951,0.93151,0.5966,1.17954,0.51439,1.11044,0.0075052,0.0075052,0.0075052
65,4273.01,0.97289,0.44943,0.95237,0.9098,0.90558,0.93422,0.60335,1.16655,0.51483,1.10114,0.0074656,0.0074656,0.0074656
66,4337.29,0.973,0.45142,0.95505,0.91163,0.89175,0.93394,0.59482,1.17522,0.51658,1.10793,0.007426,0.007426,0.007426
67,4402.28,0.97113,0.45043,0.95389,0.91916,0.89448,0.93236,0.59657,1.17084,0.51258,1.10484,0.0073864,0.0073864,0.0073864
68,4467,0.9639,0.44531,0.95208,0.90925,0.90032,0.93119,0.59926,1.1792,0.51761,1.11216,0.0073468,0.0073468,0.0073468
69,4531.58,0.95475,0.44138,0.94888,0.90517,0.90586,0.93298,0.60152,1.16649,0.50914,1.10319,0.0073072,0.0073072,0.0073072
70,4595.58,0.94642,0.43968,0.94501,0.90144,0.90146,0.93218,0.59462,1.18537,0.51723,1.11671,0.0072676,0.0072676,0.0072676
71,4659.97,0.94752,0.43777,0.94507,0.90852,0.90051,0.93375,0.60315,1.17606,0.51205,1.11146,0.007228,0.007228,0.007228
72,4724.24,0.9391,0.43622,0.94085,0.90937,0.90804,0.93387,0.60129,1.1712,0.50533,1.10803,0.0071884,0.0071884,0.0071884
73,4788.79,0.9323,0.43236,0.94174,0.8934,0.90698,0.93352,0.59925,1.17959,0.51321,1.11388,0.0071488,0.0071488,0.0071488
74,4852.8,0.93233,0.43188,0.9388,0.89394,0.91819,0.93292,0.60254,1.17713,0.50938,1.11254,0.0071092,0.0071092,0.0071092
75,4917.46,0.92461,0.42794,0.93529,0.89836,0.89014,0.92591,0.59627,1.18627,0.50956,1.12397,0.0070696,0.0070696,0.0070696
76,4981.83,0.91658,0.4247,0.93511,0.90945,0.90926,0.93453,0.59428,1.18924,0.51426,1.12378,0.00703,0.00703,0.00703
77,5046.51,0.91397,0.42472,0.93449,0.91441,0.90382,0.93385,0.59959,1.18353,0.51075,1.11801,0.0069904,0.0069904,0.0069904
78,5110.53,0.90638,0.42362,0.93473,0.91398,0.90079,0.93327,0.59777,1.18211,0.51142,1.12145,0.0069508,0.0069508,0.0069508
