epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,11637.7,0.58103,0.29808,0.84404,0.90592,0.91441,0.9281,0.60257,1.20246,0.49704,1.19615,0.0029116,0.0029116,0.0029116
181,11702.1,0.57824,0.29652,0.84291,0.90486,0.91538,0.92916,0.60242,1.20318,0.49752,1.19674,0.002872,0.002872,0.002872
182,11766.7,0.57494,0.2958,0.84308,0.9094,0.9123,0.92975,0.6032,1.20398,0.49845,1.19728,0.0028324,0.0028324,0.0028324
183,11830.6,0.57428,0.2939,0.84168,0.91517,0.9062,0.92996,0.60394,1.20329,0.49626,1.19702,0.0027928,0.0027928,0.0027928
184,11894.9,0.5716,0.2929,0.84161,0.90454,0.91323,0.92886,0.60368,1.2033,0.49678,1.19763,0.0027532,0.0027532,0.0027532
185,11959.2,0.5644,0.2916,0.84001,0.91796,0.89632,0.92721,0.60414,1.20302,0.49816,1.1984,0.0027136,0.0027136,0.0027136
186,12023.7,0.56988,0.29248,0.83954,0.91398,0.90718,0.92889,0.60485,1.20286,0.49826,1.19854,0.002674,0.002674,0.002674
187,12087.9,0.56409,0.29051,0.83793,0.91123,0.90459,0.92951,0.60282,1.20343,0.49906,1.19961,0.0026344,0.0026344,0.0026344
188,12152.2,0.56365,0.29037,0.83816,0.9085,0.90545,0.92957,0.60383,1.2018,0.49957,1.198,0.0025948,0.0025948,0.0025948
189,12216.5,0.56328,0.29034,0.84081,0.91244,0.89557,0.92781,0.60345,1.2013,0.49932,1.19847,0.0025552,0.0025552,0.0025552
190,12280.8,0.56097,0.28991,0.83935,0.90987,0.90004,0.9284,0.60412,1.20078,0.4997,1.19869,0.0025156,0.0025156,0.0025156
191,12345.9,0.55982,0.28888,0.83896,0.9113,0.9009,0.92927,0.6035,1.20105,0.50111,1.19925,0.002476,0.002476,0.002476
192,12410.4,0.55541,0.28732,0.8396,0.91053,0.89777,0.92761,0.60275,1.20081,0.50087,1.19936,0.0024364,0.0024364,0.0024364
193,12475,0.55348,0.28622,0.83754,0.91099,0.89763,0.92696,0.60318,1.20145,0.5016,1.20003,0.0023968,0.0023968,0.0023968
194,12539.1,0.55367,0.28616,0.83838,0.90938,0.89911,0.92535,0.60298,1.2015,0.50159,1.20036,0.0023572,0.0023572,0.0023572
195,12603.5,0.5497,0.28518,0.83665,0.90886,0.90193,0.92588,0.60305,1.2014,0.50076,1.20106,0.0023176,0.0023176,0.0023176
196,12693.5,0.54746,0.28413,0.83621,0.90177,0.90324,0.92579,0.6031,1.20136,0.50216,1.20108,0.002278,0.002278,0.002278
197,12760.7,0.54085,0.28191,0.83508,0.90659,0.90132,0.92589,0.60402,1.20106,0.5023,1.20126,0.0022384,0.0022384,0.0022384
198,12825,0.54353,0.28387,0.83546,0.9053,0.90164,0.92552,0.60345,1.20091,0.50305,1.20177,0.0021988,0.0021988,0.0021988
199,12889.9,0.54188,0.28173,0.83493,0.90109,0.90821,0.92539,0.6035,1.20075,0.50312,1.20245,0.0021592,0.0021592,0.0021592
200,12954.5,0.53689,0.28084,0.83568,0.90277,0.90643,0.92613,0.60369,1.20054,0.50359,1.20336,0.0021196,0.0021196,0.0021196
201,13019,0.53699,0.28055,0.83377,0.90745,0.90187,0.9264,0.6033,1.20038,0.50281,1.20335,0.00208,0.00208,0.00208
202,13083.4,0.53691,0.28066,0.83388,0.90292,0.90942,0.92701,0.60391,1.19919,0.50115,1.20375,0.0020404,0.0020404,0.0020404
203,13148.3,0.53036,0.2772,0.83343,0.90222,0.90881,0.92731,0.60493,1.19882,0.50133,1.20425,0.0020008,0.0020008,0.0020008
204,13212.7,0.53253,0.27831,0.83308,0.90513,0.90646,0.92695,0.60556,1.19855,0.50158,1.20459,0.0019612,0.0019612,0.0019612
205,13277.2,0.53241,0.27762,0.83271,0.90463,0.905,0.92595,0.60454,1.19884,0.50172,1.20508,0.0019216,0.0019216,0.0019216
206,13341.8,0.52884,0.27686,0.8332,0.90613,0.90716,0.92582,0.60397,1.19904,0.50185,1.20581,0.001882,0.001882,0.001882
207,13406.7,0.52576,0.27551,0.83243,0.90798,0.90564,0.92462,0.60429,1.19895,0.5017,1.2063,0.0018424,0.0018424,0.0018424
208,13471.4,0.52173,0.27421,0.83263,0.90663,0.90431,0.92415,0.60448,1.19868,0.50213,1.20697,0.0018028,0.0018028,0.0018028
209,13536.8,0.52165,0.27388,0.83201,0.90223,0.90747,0.92495,0.60619,1.19823,0.50282,1.20657,0.0017632,0.0017632,0.0017632
210,13600.7,0.52177,0.2746,0.83027,0.9067,0.90449,0.92575,0.60593,1.19768,0.50265,1.2066,0.0017236,0.0017236,0.0017236
211,13664.8,0.51835,0.27294,0.83024,0.90701,0.90634,0.92565,0.60646,1.19739,0.50214,1.20729,0.001684,0.001684,0.001684
212,13728.8,0.51994,0.27225,0.83132,0.90768,0.90709,0.9263,0.60595,1.19751,0.50247,1.20776,0.0016444,0.0016444,0.0016444
213,13792.9,0.51533,0.27216,0.8293,0.90926,0.90368,0.92545,0.60522,1.19797,0.50298,1.2087,0.0016048,0.0016048,0.0016048
